,gt_value,date,region,date_obtained,term_topic
396,0.0,2012-07-01,CH-AG,2021-03-31.xlsx,meth
397,32.0,2012-08-01,CH-AG,2021-03-31.xlsx,meth
398,0.0,2012-09-01,CH-AG,2021-03-31.xlsx,meth
399,0.0,2012-10-01,CH-AG,2021-03-31.xlsx,meth
400,0.0,2012-11-01,CH-AG,2021-03-31.xlsx,meth
401,0.0,2012-12-01,CH-AG,2021-03-31.xlsx,meth
402,0.0,2013-01-01,CH-AG,2021-03-31.xlsx,meth
403,0.0,2013-02-01,CH-AG,2021-03-31.xlsx,meth
404,0.0,2013-03-01,CH-AG,2021-03-31.xlsx,meth
405,24.0,2013-04-01,CH-AG,2021-03-31.xlsx,meth
406,0.0,2013-05-01,CH-AG,2021-03-31.xlsx,meth
